annotation_id,external_id,sequence_id,turn_range,is_calibration,seeker_stance,primary_d2_role,d1_support_type,d3_strategies,stance_mismatch,confidence,notes,coder_id,created_at
7ab4bf6f-e04e-4e2d-8107-42e3856dc1b0,ESConv_18,3c7f3f0f-8a56-4491-a5bf-6b9f6f51f36a,"[7,12)",TRUE,Passive,Listener,None,Question,aligned,2,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-28T06:47:02.084866+00:00
81b35ff9-e8fb-4838-94f6-6e6491ce3120,ESConv_19,68b123e7-1565-4303-b628-c8ade42ca6b0,"[2,7)",TRUE,Passive,None,None,Question,N/A,2,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-28T06:47:25.094042+00:00
5c36c5a7-cf49-45dd-93fe-62d5b1636f42,ESConv_19,11530ed7-d7ed-4ce7-a635-53e9c9bb45f9,"[7,12)",TRUE,Passive,None,None,Question,N/A,2,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-28T06:47:39.148889+00:00
a67ed889-235a-4867-9e9a-e1bcd2f5053f,ESConv_20,978d0d2b-68c6-41d7-9149-9a38f60e7269,"[2,7)",TRUE,Passive,None,None,Question,N/A,2,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-28T06:47:55.190742+00:00
b2e802f9-7fcc-461c-adce-f851854704ed,ESConv_20,2f984489-b8dc-4350-a176-352ea03e400d,"[7,12)",TRUE,Passive,Advisor,Emotional,Reflection of Feelings,misaligned_paradox_risk,2,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-28T06:48:25.875323+00:00
bf9874f1-4807-4935-9560-d706c8bc38d1,ESConv_21,91345cd8-c511-404b-8db1-5c88c7057993,"[2,7)",TRUE,Passive,None,None,Question,N/A,2,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-28T06:49:02.121592+00:00
239ee9c1-2255-43a0-9d6f-9daf7a0c05b8,ESConv_21,689936e4-bee9-4ffb-967e-128e7a7fa4c1,"[7,12)",TRUE,Passive,Listener,Emotional,Question,aligned,2,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-28T06:49:56.516184+00:00
1e4fe2c0-72a5-4e88-a455-69a040d279bb,ESConv_22,7c292aae-ecbe-466f-b596-7f64b0aa2f01,"[2,7)",TRUE,Passive,None,None,Question,N/A,2,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-28T06:50:10.400934+00:00
bc158f3e-c852-432f-a405-c97148a793ad,ESConv_22,4eeb5306-2e52-4300-88d8-c19897981d65,"[7,12)",TRUE,Passive,Listener,None,Question,aligned,2,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-28T06:50:22.073622+00:00
6533c0a6-4bff-49ce-80f0-7b4f42eb7349,ESConv_23,0957ad51-b545-4e0c-9f5e-12098c7e0e7e,"[2,7)",TRUE,Passive,None,None,Question,N/A,2,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-28T06:50:35.614352+00:00
89c6dbc7-3214-41f2-9a0a-d72f88af1411,ESConv_23,bfe3cebe-88aa-41ac-b00d-7b1c08acbc9a,"[7,12)",TRUE,Passive,Reflective Partner,Esteem,Question; Reflection of Feelings,misfit,2,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-28T06:51:03.099529+00:00
619eee27-f156-491a-8040-2b037052bb7d,ESConv_24,739d7c33-e2fa-45e2-af6b-f684f2b3676c,"[2,7)",TRUE,Passive,None,None,,N/A,2,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-28T06:51:26.252573+00:00
1a1cc8a2-6d2a-4baf-9d68-a18cb7b3132f,ESConv_24,30341800-7fa2-4396-8e48-83120341f424,"[7,12)",TRUE,Passive,None,Emotional,Reflection of Feelings,N/A,2,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-28T06:51:55.562419+00:00
